Date,SPX,ΔVIX,ΔTNX,SPY_Vol_Change,GLD_USO_Ratio,ΔDXY,Target
2015-01-05,2020.5799560546875,0.11973013216134865,-0.039566592513207044,0.39654503856637957,0.07450148464361761,-0.055106881447303024,0
2015-01-06,2002.6099853515625,0.06024100192487092,-0.0372731603358486,0.23296701223703464,0.05286361233068182,0.0,1
2015-01-07,2025.9000244140625,-0.08570081919356187,-0.0045848510806992815,-0.40068916583871783,-0.02320857940144805,-0.021579551413316134,1
2015-01-08,2062.139892578125,-0.11910923359252923,0.031729803664618084,0.17448484882330373,-0.0138711000125461,0.015517364575795112,0
2015-01-09,2044.81005859375,0.03174597301073678,-0.022321466056633654,0.07709325910317899,0.02632351839714886,0.015259395433045109,0
2015-01-12,2028.260009765625,0.11680918709558497,-0.029934052040571535,-0.08937025477510185,0.061611768685484236,0.056825734606560374,0
2015-01-13,2023.030029296875,0.04897954417287975,-0.01150625306362274,0.48586630802355457,-0.015251888483279186,0.023397870942617693,0
2015-01-14,2011.27001953125,0.04474708658518822,-0.028042314126067502,-0.10049810466676579,-0.03712822852733455,-0.02935434295343442,0
2015-01-15,1992.6700439453125,0.04236498448814063,-0.033750699957098895,-0.08485987177647047,0.07335033723396589,-0.04043072527554614,1
2015-01-16,2019.4200439453125,-0.06431436650126654,0.022535257239210793,0.19967680912997232,-0.03557160100195933,-0.017260361347044784,1
2015-01-20,2022.550048828125,-0.050596722419512186,-0.004407722292149585,-0.38176634277202715,0.06300585146179061,0.05537357525930031,1
2015-01-21,2032.1199951171875,-0.05228753343853643,0.025456559364014808,-0.061442342266001315,-0.016082036240078867,-0.050221726783096776,1
2015-01-22,2063.14990234375,-0.1299735126450129,0.02320560269494054,0.4181891238764075,0.028893839630189877,0.022895861205598944,0
2015-01-23,2051.820068359375,0.01585367286155681,-0.04166666404691266,-0.32599509050448505,0.015939744522173838,0.10010137035687117,1
2015-01-26,2057.090087890625,-0.06842733493935294,0.006053889814796598,-0.2170506685001634,-0.0023525101116590452,-0.028431794236732477,0
2015-01-27,2029.550048828125,0.10953600550574838,-0.001641084165477924,0.4568529187683472,-0.008517966821583456,-0.03204406559266815,0
2015-01-28,2002.1600341796875,0.1869919482636646,-0.05534250297696619,0.2571509781072867,0.031064130988277316,-0.07065063418606476,1
2015-01-29,2021.25,-0.08219179360472739,0.01566129348995582,0.03009299507519536,-0.02859163133079934,0.08972377668300235,0
2015-01-30,1994.989990234375,0.11780378771372657,-0.04340382203626214,0.1390917669343159,-0.043122520330273306,-0.05499084189029624,1
2015-02-02,2020.8499755859375,-0.07343820021958614,-0.0011940145120766799,-0.17510116082712912,-0.05094958990308618,0.0538682585434338,1
2015-02-03,2050.030029296875,-0.10808030614957465,0.06395696038681664,-0.23845757692802882,-0.06158895517268015,0.1423226248427789,0
2015-02-04,2041.510009765625,0.0577034047549001,0.009550606420344554,0.08126209113546179,0.07800345997850688,0.005249701494893566,1
2015-02-05,2062.52001953125,-0.08074192844497807,0.010016697924000395,-0.27067525298440065,-0.03775227740072307,-0.028854101660171216,0
2015-02-06,2055.469970703125,0.026112790747559567,0.06776854141166377,0.28298003536382677,-0.04787850511693681,-0.03508895119879185,0
2015-02-09,2046.739990234375,0.07287439299101806,0.005159953895898628,-0.3059790565917627,-0.01077506772311998,-0.051024731943354884,1
2015-02-10,2068.590087890625,-0.07115901612475684,0.022073974873520585,0.10256022196998371,0.03769124525833112,0.10475724724949087,0
2015-02-11,2068.530029296875,-0.015670369410156537,-0.0015067910075603486,-0.052788875693865256,0.011138826483517938,-0.0204191268441406,1
2015-02-12,2088.47998046875,-0.09551881010229057,-0.0010060832115605933,0.07089972531996591,-0.03270650431474742,0.07881403972884238,1
2015-02-13,2096.989990234375,-0.04237291823591893,0.01762334725408965,-0.03973001428045664,-0.017094145236091762,0.03520333193175906,1
2015-02-17,2100.340087890625,0.07556165024223915,0.06135580311555655,-0.17830819554523092,-0.025144518713196118,-0.0600817769273394,0
2015-02-18,2099.679931640625,-0.022151922610416652,-0.0368298353789166,0.04787301768782437,0.030441016463639503,0.02584037128817185,0
2015-02-19,2097.449951171875,-0.010355977306624964,0.02274924089185637,0.13402617884787782,0.004910007969814778,0.008486355776469834,1
2015-02-20,2110.300048828125,-0.0647481866310079,0.009465206682851557,0.5404827114937816,0.01829874069646875,-0.01657066160053089,0
2015-02-23,2109.659912109375,0.018181833945029924,-0.034692867003112915,-0.4718736603632172,0.031157716060781215,0.0,1
2015-02-24,2115.47998046875,-0.059752803170338264,-0.034482748638501426,-0.02605525250937024,0.002401796187762928,0.11229976145897669,0
2015-02-25,2113.860107421875,0.010956944981906913,-0.009557370758813244,0.008132762448549213,-0.02901515357955453,0.003598363261247073,0
2015-02-26,2110.739990234375,0.0050577813621721646,0.02387001065376282,-0.004979353067338987,0.03769498961876905,-0.029214941268964956,0
2015-02-27,2104.5,-0.04097769238511273,-0.00694441405737678,0.48664541891856583,-0.0030949569130230836,-0.03602181415333605,1
2015-03-02,2117.389892578125,-0.022488769662919794,0.040959047621429434,-0.19046411784299933,-0.016091333460108603,-0.019961013562683982,0
2015-03-03,2107.780029296875,0.06288341236372941,0.018234100948068432,0.2609902230390644,-0.010992817446668468,-0.004440348648870218,0
2015-03-04,2098.530029296875,0.026695519099874554,0.0004712193829587985,0.03780983233296298,-0.030386464443728167,-0.008661692639021057,1
2015-03-05,2101.0400390625,-0.013352044026379573,-0.0051813087462337926,-0.3286036689106808,0.015063332725329781,0.006887180752030098,0
2015-03-06,2071.260009765625,0.08262107197748247,0.060606070868568285,1.4472571644140335,-0.0022404008050967983,0.0010442616547376993,1
2015-03-09,2079.429931640625,-0.00921048627665777,-0.020089319688552987,-0.5225649557747916,-0.005017100961230869,-0.054340413144800315,0
2015-03-10,2044.1600341796875,0.10823373632299038,-0.0314350832895508,0.7493122271593173,0.019534577630817784,0.032750481360699135,0
2015-03-11,2040.239990234375,0.010784919078251187,-0.007996218497290042,-0.2989766505241491,0.0018177705377051545,-0.04166420723582076,1
2015-03-12,2065.949951171875,-0.08595143395412796,-0.006164064316719342,-0.14664394524706825,0.018646018662245467,-0.019914852525405036,0
2015-03-13,2053.39990234375,0.03761348384152874,0.007633603415937662,0.7278950140169267,0.039595417555586376,-0.062104366145939616,1
2015-03-16,2081.18994140625,-0.02437502145767212,-0.006628759015484764,-0.16200698352142617,0.026874179277722288,-0.0320416626748351,1
2015-03-19,2089.27001953125,0.007158155038223146,0.01332651113204597,-0.4846463308836866,0.04154651897071804,-0.01931337027858182,1
2015-03-20,2108.10009765625,-0.0746268130657316,-0.023773419620679248,0.5071164282085834,-0.010146301570961525,0.003733770441070261,0
2015-03-23,2104.419921875,0.029953869119557996,-0.0077720135246339694,-0.596069776850701,-0.014650708128297385,0.030790537887923186,0
2015-03-24,2091.5,0.01565995828012623,-0.0193211183338039,0.08387325954767388,0.0018528320397286357,0.03938293325607134,0
2015-03-25,2061.050048828125,0.1336269978059188,0.022364182979021097,1.0502677838142134,-0.031483379244322096,0.0,0
2015-03-26,2056.14990234375,0.023316102340374956,0.04531250746998339,-0.04046157983521992,-0.04044561663240398,-0.02905987502579188,1
2015-03-27,2061.02001953125,-0.04620256247457,-0.029397118164383618,-0.2229622022222919,0.05856296215456824,-0.019832971027406776,1
2015-03-30,2086.239990234375,-0.037159885685645655,0.007700259372004359,-0.1913468248429867,-0.016549328806412578,-0.04445398346186369,0
2015-03-31,2067.889892578125,0.053756011072874976,-0.014773328066991387,0.3180304926991362,0.022349608897670015,-0.007293813617046507,0
